# File Format Version = 2
# File Timestamp = 1/23/2018 11:47:46 AM
# CounterMeasure Version = 1.1.39.30507
# AAE Version = 2.0.16
# Computer Name = UL-1113
# Buffer File Name = C:\Users\UltraLo\AppData\Roaming\XIA LLC\CounterMeasure\Buffers\2018-01-23-110231.92.buf
# Measurement ID = 69
# Data Type = analysis results
# ROI Active = False
# Counter ID = 6577183
# Last Calibration = 7/3/2017 7:00:00 AM
# Event ID,Trigger time (s),Event class,Anode amplitude (ADC),Anode energy (MeV),Anode t0 (microseconds),Anode tS (microseconds),Anode tR (microseconds)

269,171.000,Alpha,1540.08630,3.07066,85.50000,141.02868,146.88432
270,172.115,Alpha,2384.26628,4.93771,87.50000,145.56549,156.66327
271,173.777,Alpha,2259.55627,4.49108,90.50000,147.80251,153.32337
272,174.226,Alpha,1818.10745,3.54680,87.50000,149.38620,152.87897
273,174.862,MidAir,2271.27815,4.57876,91.00000,142.81146,149.38314
274,174.997,Alpha,2281.36854,4.90059,89.00000,138.74488,153.39386
275,175.006,MidAir,2220.59453,4.64601,88.50000,136.53587,147.01517
276,175.566,Alpha,2237.22751,4.83811,89.50000,136.35422,150.91267
277,175.721,Alpha,2300.15494,4.63746,91.00000,146.19021,153.22449
278,176.004,Alpha,2385.81997,4.99998,91.00000,142.93151,154.63983
279,176.294,MidAir,2121.62697,4.72195,91.00000,133.41411,150.58381
280,176.695,Alpha,2381.85432,4.93019,88.50000,140.96602,150.94492
281,176.826,MidAir,2264.16731,4.53491,91.00000,143.17753,149.18645
282,177.030,Alpha,2290.29755,4.81034,89.00000,140.03703,151.75012
283,177.818,Alpha,2312.30922,4.64712,91.00000,146.02300,152.73680
284,179.823,Alpha,2270.94913,4.61375,91.50000,144.12292,151.81905
285,179.991,Alpha,2402.91856,4.82611,89.00000,145.02282,151.64591
286,180.019,Alpha,2445.38417,4.94343,91.00000,145.75382,153.13264
287,180.410,Alpha,2369.26183,4.75514,87.00000,142.33150,148.67375
288,180.698,Alpha,2353.59073,4.75091,91.50000,145.39604,152.56654
289,181.220,MidAir,2137.95878,4.58667,90.00000,135.69950,148.84846
290,181.504,Alpha,2365.95938,4.79206,90.50000,145.25644,152.81888
291,181.657,MidAir,2153.31786,4.71532,89.50000,132.52068,147.61850
292,182.107,MidAir,2192.64447,4.64107,89.50000,137.18066,149.06145
293,182.371,Alpha,2292.03088,4.67530,89.00000,141.51515,149.60840
294,183.438,Sidewall,0.00000,0.55401,,,
295,184.144,Alpha,2207.27139,4.76931,90.00000,135.93337,150.08411
296,184.240,Alpha,2528.03572,5.09710,86.50000,146.64267,154.11925
297,185.008,Alpha,2414.85130,4.77690,89.00000,145.75348,150.53696
298,185.278,Alpha,2386.23122,4.75523,90.00000,146.84954,152.67203
299,185.624,Alpha,2300.06007,5.00509,88.50000,134.85968,150.06223
300,185.663,Alpha,2350.23899,4.67533,90.50000,146.80817,152.31605
301,185.734,Alpha,2373.48199,4.89058,89.00000,143.05997,152.81322
302,185.875,MidAir,2136.02947,4.44318,91.50000,139.43910,149.42890
303,186.297,Alpha,2414.25824,5.03570,85.00000,140.06877,151.14863
304,186.432,Alpha,2353.89877,4.72780,90.50000,146.61032,153.40281
305,186.776,Alpha,2272.15184,4.60717,90.50000,143.11234,150.58109
306,187.715,MidAir,2188.94097,4.61322,90.50000,137.38797,148.67233
307,188.627,Alpha,2290.41302,4.89636,88.50000,136.76969,150.04026
308,189.683,Alpha,2333.64915,4.59183,87.00000,144.47963,148.68320
309,190.796,MidAir,2300.92791,4.48881,89.50000,143.98336,147.04042
310,191.158,Alpha,2284.30783,4.71698,88.50000,140.76205,150.35938
311,191.345,Alpha,2541.44596,5.08636,87.50000,147.20388,153.77871
312,191.852,Alpha,2183.14134,4.80271,90.50000,135.21859,151.53781
313,192.401,MidAir,2238.46790,4.62927,89.00000,136.50577,145.55324
314,193.452,MidAir,2219.17461,4.64385,90.50000,139.08072,149.82028
315,193.804,MidAir,2264.50833,4.63424,89.50000,140.84973,149.34047
316,194.331,Alpha,2175.28571,4.76167,88.00000,133.82605,149.79010
317,196.467,Alpha,2310.02288,4.80225,89.50000,142.49764,153.17340
318,197.300,Alpha,2279.71108,5.05603,88.50000,134.59954,152.31714
319,197.532,MidAir,2133.86885,4.63272,91.50000,134.34668,148.40359
320,197.545,Alpha,2120.99380,4.55376,89.50000,136.01365,149.81134
321,197.843,Alpha,2485.30933,4.96578,87.00000,148.09314,154.55842
322,198.261,Alpha,2341.97901,4.92966,88.00000,141.15953,153.67606
323,198.375,Alpha,2324.46032,4.81898,89.00000,141.97332,152.22262
324,199.941,Alpha,2010.02649,4.05025,88.50000,147.14163,154.69983
325,200.339,Alpha,2281.47629,4.89922,87.50000,136.35413,150.32313
326,200.470,Alpha,2508.83417,4.84362,88.50000,148.97100,151.02237
327,200.895,Alpha,2327.87075,4.82555,87.50000,139.31268,149.20986
328,200.988,Alpha,2396.92744,4.91830,88.00000,142.50576,151.73066
329,201.344,Alpha,2315.52330,4.80354,89.00000,140.84655,151.07716
330,202.309,Alpha,2436.69504,5.20885,91.00000,143.95871,158.37191
331,202.849,MidAir,1542.49956,3.05141,88.50000,143.46146,148.29385
332,203.255,Alpha,2126.36370,4.27232,90.00000,148.01662,154.91000
333,205.187,MidAir,2180.21003,4.80356,90.00000,133.27631,149.45021
334,208.512,MidAir,2221.69160,4.49164,90.50000,142.40976,149.48050
335,208.665,Alpha,2439.87674,5.05362,87.50000,143.60344,154.16915
336,209.424,Alpha,2372.33726,4.80200,90.00000,145.57842,153.15042
337,209.539,Alpha,2403.62916,4.82905,90.00000,147.50430,154.40489
338,209.642,Alpha,2264.25654,4.90812,90.50000,138.83738,153.83347
339,209.768,Alpha,2099.55067,4.19712,87.00000,147.31142,153.91186
